Year,Month,Day,Dayth,Hour,Minute,Second,ghi,dni,dif,sza,NO2,press,albedo,ang_alpha,ang_beta,aod550,aod700,broadbandaod,ozone,wv,Tem,Tdpt,aerosol_scattering,TL2R,TL2D,TL2I,TL2Gu,TL2M,TL2Gr
2015,1,19,19,17,1,0,NA,NA,NA,NA,1.04452776702543e-17,982.8708,NA,0.82563,0.11591,0.189882,0.155601,NA,0.26834,3.28857,20.2541,7.5135,0.18404,4.30382,NA,4.15878,NA,NA,3.61638
2015,1,19,19,17,2,0,NA,NA,NA,NA,1.04450876844244e-17,982.8675,NA,0.8256,0.11633,0.190561,0.156158,NA,0.26834,3.29474,20.2563,7.5226,0.1847,4.31135,NA,4.16489,NA,NA,3.62286
2015,1,19,19,17,4,0,NA,NA,NA,NA,1.04447073566725e-17,982.8614,NA,0.82545,0.11718,0.191948,0.1573,NA,0.26834,3.30724,20.2605,7.5424,0.18606,4.3268,NA,4.17735,NA,NA,3.63616
2015,1,19,19,17,5,0,NA,NA,NA,NA,1.04445170150453e-17,982.8586,NA,0.82534,0.11762,0.192654,0.157883,NA,0.26834,3.31355,20.2625,7.553,0.18674,4.3347,NA,4.18369,NA,NA,3.64297
2015,1,19,19,17,7,0,NA,NA,NA,NA,1.04441359768826e-17,982.8531,NA,0.82505,0.11852,0.194089,0.15907,NA,0.26835,3.32631,20.2665,7.5758,0.18814,4.35081,NA,4.19655,NA,NA,3.65687
2015,1,19,19,17,9,0,NA,NA,NA,NA,1.04437544664282e-17,982.8482,NA,0.82467,0.11944,0.195548,0.160281,NA,0.26836,3.3392,20.2703,7.6005,0.18956,4.36729,NA,4.20962,NA,NA,3.67109
2015,1,19,19,17,10,0,NA,NA,NA,NA,1.04435635344366e-17,982.8458,NA,0.82445,0.1199,0.196285,0.160894,NA,0.26836,3.34569,20.2722,7.6135,0.19028,4.37564,NA,4.21622,NA,NA,3.67831
2015,1,19,19,17,12,0,NA,NA,NA,NA,1.0443181317518e-17,982.8414,NA,0.82395,0.12085,0.197771,0.162131,NA,0.26838,3.35874,20.2758,7.6408,0.19172,4.39254,NA,4.2295,NA,NA,3.69292
2015,1,19,19,17,13,0,NA,NA,NA,NA,1.04429900328863e-17,982.8393,NA,0.82367,0.12132,0.198517,0.162754,NA,0.26838,3.36529,20.2776,7.655,0.19245,4.40107,NA,4.23618,NA,NA,3.7003
2015,1,19,19,17,15,0,NA,NA,NA,NA,1.04426071118716e-17,982.8354,NA,0.82305,0.12228,0.200015,0.164006,NA,0.2684,3.37844,20.281,7.6846,0.1939,4.41824,NA,4.24956,NA,NA,3.71516
2015,1,19,19,17,16,0,NA,NA,NA,NA,1.04424154757837e-17,982.8335,NA,0.82271,0.12277,0.200764,0.164634,NA,0.2684,3.38503,20.2826,7.6999,0.19463,4.42687,NA,4.25626,NA,NA,3.72263
